2014-2015 Award Year Campus-Based Program Data by School,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,, FEDERAL WORK-STUDY ,,, PERKINS LOAN ,,, FEDERAL SUPPLEMENTAL EDUCATIONAL OPPORTUNITY GRANTS ,,
00467300, Baker College, MI,485075508, Private/Non-Profit,559," $1,451,221.00 "," $1,538,353.00 ",0, $-   , $-   ,1025," $1,572,872.00 "," $2,256,175.00 "
00469200, Dorsey School of Business, MI,481952334, Proprietary,62," $153,669.00 "," $104,752.00 ",0, $-   , $-   ,1322," $317,623.00 "," $458,892.00 "
00470300, Logan University, MO,630175529, Private/Non-Profit,214," $116,184.00 "," $327,903.00 ",377, $-   ," $1,035,484.00 ",8," $8,117.00 "," $10,823.00 "
00471100, State Technical College of Missouri, MO,650519607, Public,45," $46,227.00 "," $46,075.00 ",0, $-   , $-   ,116," $30,838.00 "," $53,117.00 "
00471300, Three Rivers Community College, MO,639012393, Public,65," $146,049.00 "," $159,246.00 ",0, $-   , $-   ,219," $95,000.00 "," $72,143.00 "
00472900, Mount Washington College, NH,31037230, Proprietary,32," $133,480.00 "," $187,995.00 ",14, $-   ," $34,564.00 ",712," $173,524.00 "," $150,251.00 "
00473100, Daniel Webster College, NH,30631300, Proprietary,87," $67,541.00 "," $98,687.00 ",0, $-   , $-   ,97," $56,011.00 "," $82,149.00 "
00473600, Bergen Community College, NJ,76521595, Public,147," $262,748.00 "," $245,001.00 ",0, $-   , $-   ,1659," $273,344.00 "," $275,425.00 "
00474000, Mercer County Community College, NJ,86900182, Public,75," $168,574.00 "," $145,749.00 ",0, $-   , $-   ,507," $206,217.00 "," $196,300.00 "
00474200, Central New Mexico Community College, NM,871064096, Public,366," $518,024.00 "," $691,610.00 ",20, $-   ," $38,102.00 ",2199," $565,638.00 "," $741,142.00 "
00474300, Clovis Community College, NM,881018381, Public,31," $50,000.00 "," $48,975.00 ",0, $-   , $-   ,104," $44,565.00 "," $41,358.00 "
00477600, Central Yeshiva Tomchei Tmimim Lubavitz, NY,112302798, Private/Non-Profit,57," $154,044.00 "," $135,090.00 ",0, $-   , $-   ,265," $73,693.00 "," $149,606.00 "
00478800, Herkimer County Community College - SUNY Office of Community Colleges, NY,133501598, Public,94," $81,431.00 "," $95,715.00 ",0, $-   , $-   ,228," $77,769.00 "," $105,837.00 "
00479800, Mirrer Yeshiva Central Institute, NY,112232010, Private/Non-Profit,23," $126,711.00 "," $160,051.00 ",0, $-   , $-   ,50," $65,437.00 "," $89,320.00 "
00479900, Monroe College, NY,104684305, Proprietary,260," $494,659.00 "," $649,377.00 ",0, $-   , $-   ,944," $472,427.00 "," $607,300.00 "
00481100, Everest Institute, NY,146213007, Proprietary,11," $10,127.00 "," $19,044.00 ",0, $-   , $-   ,114," $34,700.00 "," $43,600.00 "
00483500, Caldwell Community College & Technical Institute, NC,286382626, Public,54," $90,167.00 "," $86,738.00 ",0, $-   , $-   ,345," $74,411.00 "," $125,367.00 "
00483800, Guilford Technical Community College, NC,272820309, Public,125," $444,972.00 "," $387,538.00 ",0, $-   , $-   ,892," $451,760.00 "," $498,428.00 "
00484400, Wake Technical Community College, NC,276035696, Public,73," $199,835.00 "," $122,298.00 ",0, $-   , $-   ,275," $234,965.00 "," $201,550.00 "
00484500, Wilson Community College, NC,278933310, Public,22," $47,442.00 "," $39,268.00 ",0, $-   , $-   ,68," $44,266.00 "," $47,770.00 "
00485200, Clark State Community College, OH,455054795, Public,48," $220,987.00 "," $141,444.00 ",0, $-   , $-   ,216," $220,000.00 "," $235,093.00 "
00485300, Bradford School, OH,432193129, Proprietary,0, $-   , $-   ,127, $-   ," $453,980.00 ",437," $91,594.00 "," $122,125.00 "
00485500, Davis College, OH,436234307, Proprietary,18," $21,234.00 "," $32,349.00 ",0, $-   , $-   ,108," $28,945.00 "," $32,839.00 "
00486100, University of Northwestern Ohio, OH,458051498, Private/Non-Profit,93," $123,251.00 "," $164,335.00 ",0, $-   , $-   ,864," $141,425.00 "," $188,540.00 "
00486600, Stautzenberger College, OH,435374007, Proprietary,13," $16,000.00 "," $22,575.00 ",0, $-   , $-   ,519," $91,459.00 "," $108,550.00 "
00487800, Clackamas Community College, OR,970457998, Public,98," $187,904.00 "," $204,500.00 ",0, $-   , $-   ,132," $170,000.00 "," $111,526.00 "
00488200, Oregon Health & Science University, OR,972393098, Public,26," $36,130.00 "," $20,681.00 ",723, $-   ," $1,911,597.00 ",203," $29,423.00 "," $51,274.00 "
00489000, Central Penn College, PA,170930309, Proprietary,49," $85,386.00 "," $74,506.00 ",0, $-   , $-   ,141," $105,119.00 "," $168,620.00 "
00489400, Erie Business Center, PA,165011305, Proprietary,0, $-   , $-   ,0, $-   , $-   ,36," $23,029.00 "," $23,628.00 "
00489800, McCann School of Business & Technology, PA,179011335, Proprietary,139," $337,389.00 "," $264,459.00 ",0, $-   , $-   ,0, $-   , $-   
00490200, Penn Commercial Business/Technical School, PA,153012871, Proprietary,18," $23,578.00 "," $23,905.00 ",0, $-   , $-   ,50," $26,958.00 "," $43,386.00 "
00491000, Kaplan Career Institute, PA,171113571, Proprietary,20," $48,991.00 "," $41,765.00 ",0, $-   , $-   ,1035," $111,161.00 "," $145,483.00 "
00492000, Trident Technical College, SC,294238067, Public,180," $682,416.00 "," $570,236.00 ",0, $-   , $-   ,586," $699,399.00 "," $623,432.00 "
00492300, Clinton College, SC,297305152, Private/Non-Profit,7," $5,638.00 "," $4,781.00 ",0, $-   , $-   ,58," $5,843.00 "," $5,739.00 "
00492400, Forrest College, SC,296242405, Proprietary,8," $9,795.00 "," $12,554.00 ",11, $-   ," $34,672.00 ",64," $11,710.00 "," $16,224.00 "
00492500, Horry - Georgetown Technical College, SC,295269521, Public,96," $248,119.00 "," $227,086.00 ",0, $-   , $-   ,279," $238,592.00 "," $220,180.00 "
00492600, Tri-County Technical College, SC,296709133, Public,83," $159,349.00 "," $140,736.00 ",0, $-   , $-   ,135," $165,750.00 "," $120,614.00 "
00493400, Daymar Institute, TN,372171056, Proprietary,39," $113,140.00 "," $107,300.00 ",0, $-   , $-   ,498," $162,546.00 "," $211,124.00 "
00493700, Jackson State Community College, TN,383013797, Public,33," $102,652.00 "," $61,373.00 ",5, $-   ," $14,900.00 ",508," $107,967.00 "," $181,800.00 "
00493800, South College, TN,379093323, Proprietary,37," $158,933.00 "," $65,174.00 ",266, $-   ," $123,176.00 ",451," $82,348.00 "," $120,729.00 "
00494700, West Tennessee Business College, TN,383013256, Proprietary,0," $2,260.00 ", $-   ,0, $-   , $-   ,84," $15,472.00 "," $20,629.00 "
00494900, Baylor College of Medicine, TX,770303498, Private/Non-Profit,76," $213,104.00 "," $217,064.00 ",267, $-   ," $1,300,000.00 ",0, $-   , $-   
00495100, University of Texas Health Science Center at Houston, TX,770305400, Public,0, $-   , $-   ,102, $-   ," $483,500.00 ",19," $20,147.00 "," $26,863.00 "
00495200, University of Texas Medical Branch at Galveston, TX,775551305, Public,87," $224,331.00 "," $147,891.00 ",113, $-   ," $332,481.00 ",203," $19,824.00 "," $101,209.00 "
00497200, Galveston College, TX,775507447, Public,31," $64,974.00 "," $59,550.00 ",0, $-   , $-   ,151," $68,655.00 "," $53,775.00 "
00497700, South Texas College of Law, TX,770027006, Private/Non-Profit,69," $88,265.00 "," $105,332.00 ",0, $-   , $-   ,0, $-   , $-   
00498800, Central Virginia Community College, VA,245022498, Public,38," $88,187.00 "," $101,883.00 ",0, $-   , $-   ,292," $95,048.00 "," $129,278.00 "
00499200, Miller-Motte Technical College, VA,245024353, Proprietary,82," $175,000.00 "," $155,056.00 ",0, $-   , $-   ,0, $-   , $-   
00499600, Dabney S Lancaster Community College, VA,244221000, Public,22," $47,342.00 "," $45,924.00 ",0, $-   , $-   ,91," $28,220.00 "," $26,460.00 "
00499900, Bellingham Technical College, WA,982251599, Public,11," $50,470.00 "," $42,631.00 ",0, $-   , $-   ,38," $53,176.00 "," $58,200.00 "
00500000, Pierce College, WA,984981919, Public,124," $184,059.00 "," $262,927.00 ",0, $-   , $-   ,420," $188,256.00 "," $192,872.00 "
00500100, Edmonds Community College, WA,980365999, Public,52," $139,689.00 "," $153,978.00 ",0, $-   , $-   ,90," $137,259.00 "," $159,218.00 "
00500600, Walla Walla Community College, WA,993629267, Public,84," $99,666.00 "," $131,228.00 ",85, $-   ," $200,990.00 ",153," $101,361.00 "," $129,832.00 "
00500700, West Virginia Junior College, WV,265055596, Proprietary,0, $-   , $-   ,61, $-   ," $124,041.00 ",138," $52,195.00 "," $66,820.00 "
00500800, Mountain State College, WV,261013993, Proprietary,0," $10,761.00 ", $-   ,6, $-   ," $22,818.00 ",73," $32,241.00 "," $25,671.00 "
00501500, University of Wisconsin - Parkside, WI,531412000, Public,82," $165,960.00 "," $109,913.00 ",445, $-   ," $472,600.00 ",1008," $443,849.00 "," $617,799.00 "
00501900, Universidad Adventista De Las Antillas, PR,6810118, Private/Non-Profit,163," $142,561.00 "," $135,433.00 ",0, $-   , $-   ,133," $47,728.00 "," $47,728.00 "
00502200, Bayamon Central University, PR,9601725, Private/Non-Profit,159," $385,467.00 "," $512,085.00 ",0, $-   , $-   ,598," $410,992.00 "," $291,532.00 "
00502600, Inter American University of Puerto Rico - Arecibo Campus, PR,6144050, Private/Non-Profit,0, $-   , $-   ,0, $-   , $-   ,0, $-   , $-   
00502700, Inter American University of Puerto Rico - Barranquitas Campus, PR,7940517, Private/Non-Profit,0, $-   , $-   ,0, $-   , $-   ,0, $-   , $-   
00502800, Inter American University of Puerto Rico - Bayamon Campus, PR,9576257, Private/Non-Profit,0, $-   , $-   ,0, $-   , $-   ,0, $-   , $-   
00502900, Inter American University of Puerto Rico - Ponce Campus, PR,7151612, Private/Non-Profit,0, $-   , $-   ,0, $-   , $-   ,0, $-   , $-   
00520400, Beal College, ME,44016896, Proprietary,0, $-   , $-   ,0, $-   , $-   ,31," $24,805.00 "," $32,844.00 "
00520800, College of Westchester (The), NY,106061231, Proprietary,52," $175,468.00 "," $213,259.00 ",0, $-   , $-   ,521," $178,939.00 "," $260,293.00 "
00522000, Salt Lake Community College, UT,841230000, Public,175," $500,000.00 "," $614,150.00 ",304, $-   ," $697,540.00 ",824," $568,887.00 "," $732,872.00 "
00522300, New River Community College, VA,240841127, Public,100," $221,026.00 "," $162,735.00 ",0, $-   , $-   ,577," $140,487.00 "," $180,487.00 "
00524400, Bluegrass Community & Technical College, KY,405060235, Public,946," $3,238,274.00 "," $2,532,037.00 ",0, $-   , $-   ,5752," $3,973,060.00 "," $4,430,468.00 "
00524500, University of Arkansas Community College at Morrilton, AR,721109601, Public,34," $52,978.00 "," $44,428.00 ",0, $-   , $-   ,139," $50,635.00 "," $48,200.00 "
00525200, Ridgewater College, MN,562012098, Public,195," $332,246.00 "," $361,736.00 ",6, $-   ," $14,933.00 ",352," $222,724.00 "," $359,204.00 "
00525400, Lanier Technical College, GA,305663499, Public,30," $85,000.00 "," $68,980.00 ",0, $-   , $-   ,124," $94,744.00 "," $72,500.00 "
00525500, Moultrie Technical College, GA,317880000, Public,29," $59,796.00 "," $68,486.00 ",0, $-   , $-   ,146," $76,789.00 "," $69,300.00 "
00525600, Wiregrass Georgia Technical College, GA,316020929, Public,54," $138,457.00 "," $126,822.00 ",0, $-   , $-   ,962," $181,776.00 "," $193,101.00 "
00525800, Hawaii Community College, HI,967204075, Public,33," $85,083.00 "," $74,952.00 ",0, $-   , $-   ,228," $93,479.00 "," $93,479.00 "
00526000, J. F.  Drake State Community and Technical College, AL,358111584, Public,12," $35,249.00 "," $31,215.00 ",0, $-   , $-   ,67," $43,950.00 "," $45,200.00 "
00526300, Minnesota West Community and Technical College, MN,562411096, Public,105," $217,190.00 "," $201,733.00 ",10, $-   ," $32,566.00 ",230," $106,109.00 "," $192,533.00 "
00526400, Flint Hills Technical College, KS,668015999, Public,16," $32,977.00 "," $28,365.00 ",0, $-   , $-   ,104," $41,532.00 "," $41,532.00 "
00526500, North Central Kansas Technical College, KS,674200000, Public,19," $18,515.00 "," $17,371.00 ",0, $-   , $-   ,113," $19,941.00 "," $30,450.00 "
00526700, Northwest Kansas Technical College, KS,677353441, Public,25," $21,690.00 "," $32,916.00 ",0, $-   , $-   ,90," $12,763.00 "," $16,933.00 "
00527100, Southcentral Kentucky Community and Technical College, KY,421013601, Public,0, $-   , $-   ,0, $-   , $-   ,0, $-   , $-   
00527300, Gateway Community and Technical College, KY,410422031, Public,0, $-   , $-   ,0, $-   , $-   ,0, $-   , $-   
00527600, Central Maine Community College, ME,42106498, Public,60," $66,704.00 "," $71,428.00 ",0, $-   , $-   ,82," $58,572.00 "," $60,063.00 "
00527700, Eastern Maine Community College, ME,44014280, Public,101," $76,324.00 "," $111,749.00 ",0, $-   , $-   ,698," $49,401.00 "," $64,800.00 "
00528000, Tennessee College of Applied Technology - Covington, TN,380190249, Public,0, $-   , $-   ,0, $-   , $-   ,53," $8,483.00 "," $10,962.00 "
00528100, Tennessee College of Applied Technology - Elizabethton, TN,376436054, Public,22," $12,819.00 "," $17,551.00 ",0, $-   , $-   ,61," $17,115.00 "," $21,927.00 "
00528200, Tennessee College of Applied Technology-Hartsville, TN,370742032, Public,3," $8,623.00 "," $2,306.00 ",0, $-   , $-   ,47," $7,000.00 "," $8,750.00 "
00528300, Tennessee College of Applied Technology - Newbern, TN,380591198, Public,18," $11,090.00 "," $11,704.00 ",0, $-   , $-   ,133," $12,138.00 "," $15,549.00 "
00529100, White Mountains Community College, NH,35703799, Public,51," $24,043.00 "," $36,288.00 ",11, $-   ," $10,000.00 ",41," $24,549.00 "," $27,550.00 "
00529400, Waukesha County Technical College, WI,530724601, Public,44," $108,269.00 "," $120,938.00 ",0, $-   , $-   ,321," $115,374.00 "," $143,365.00 "
00530100, Northeast Wisconsin Technical College, WI,543034999, Public,65," $177,879.00 "," $123,731.00 ",0, $-   , $-   ,385," $171,554.00 "," $344,000.00 "
00530400, Chippewa Valley Technical College, WI,547016162, Public,107," $154,647.00 "," $163,701.00 ",0, $-   , $-   ,220," $128,224.00 "," $162,824.00 "
00530600, Bates Technical College, WA,984054895, Public,26," $35,108.00 "," $32,703.00 ",0, $-   , $-   ,322," $102,692.00 "," $137,873.00 "
00530700, Tennessee College of Applied Technology--McMinnville, TN,371101322, Public,14," $10,000.00 "," $14,682.00 ",0, $-   , $-   ,85," $11,412.00 "," $15,149.00 "
00530900, Lake Area Technical Institute, SD,572010730, Public,77," $75,000.00 "," $64,753.00 ",76, $-   ," $266,300.00 ",190," $65,000.00 "," $88,250.00 "
00531100, Tulsa Technology Center School District No. 18, OK,741451390, Public,0, $-   , $-   ,0, $-   , $-   ,64," $22,640.00 "," $27,248.00 "
00531300, North Central State College, OH,449061546, Public,67," $87,267.00 "," $92,882.00 ",0, $-   , $-   ,643," $88,463.00 "," $119,171.00 "
00531600, Coastal Carolina Community College, NC,285466816, Public,77," $173,267.00 "," $215,415.00 ",0, $-   , $-   ,513," $171,274.00 "," $214,092.00 "
00531700, Forsyth Technical Community College, NC,271035197, Public,70," $263,205.00 "," $194,937.00 ",0, $-   , $-   ,546," $277,013.00 "," $422,632.00 "
00531800, Catawba Valley Community College, NC,286028302, Public,43," $111,635.00 "," $101,463.00 ",0, $-   , $-   ,766," $164,847.00 "," $156,600.00 "
00532000, Cape Fear Community College, NC,284013910, Public,95," $150,000.00 "," $156,311.00 ",0, $-   , $-   ,448," $139,438.00 "," $137,871.00 "
00535100, Tennessee College of Applied Technology - Morristown, TN,378132094, Public,29," $19,338.00 "," $28,601.00 ",0, $-   , $-   ,132," $23,904.00 "," $31,872.00 "
00535200, Tennessee College Of Applied Technology-McKenzie, TN,382011620, Public,4," $2,152.00 "," $4,518.00 ",0, $-   , $-   ,119," $9,392.00 "," $8,708.00 "
00535300, Tennessee College of Applied Technology-Livingston, TN,385701291, Public,16," $9,600.00 "," $10,674.00 ",0, $-   , $-   ,82," $11,055.00 "," $15,500.00 "
00535400, Tennessee College of Applied Technology-Jackson, TN,383019609, Public,11," $14,996.00 "," $9,988.00 ",0, $-   , $-   ,46," $19,003.00 "," $19,730.00 "
00535600, Tennessee College of Applied Technology - Hohenwald, TN,384622201, Public,9," $8,365.00 "," $9,609.00 ",0, $-   , $-   ,51," $8,156.00 "," $11,500.00 "
00535700, Tennessee College of Applied Technology - Crump, TN,383273402, Public,5," $12,500.00 "," $8,986.00 ",0, $-   , $-   ,64," $17,360.00 "," $23,733.00 "
00535800, Tennessee College of Applied Technology - Athens, TN,373710848, Public,0, $-   , $-   ,0, $-   , $-   ,36," $5,219.00 "," $5,300.00 "
00535900, Tennessee College of Applied Technology - Nashville, TN,372094515, Public,5," $10,000.00 "," $9,907.00 ",0, $-   , $-   ,66," $18,792.00 "," $24,700.00 "
00536300, Denmark Technical College, SC,290420000, Public,206," $262,233.00 "," $225,966.00 ",0, $-   , $-   ,170," $113,596.00 "," $113,282.00 "
00537200, South Puget Sound Community College, WA,985126292, Public,43," $99,786.00 "," $88,103.00 ",0, $-   , $-   ,151," $93,725.00 "," $93,810.00 "
00537300, Lake Washington Institute of Technology, WA,980348505, Public,35," $70,013.00 "," $70,105.00 ",0, $-   , $-   ,174," $75,139.00 "," $106,849.00 "
00537800, Northeast State Community College, TN,376170246, Public,133," $146,314.00 "," $145,963.00 ",0, $-   , $-   ,259," $141,690.00 "," $171,350.00 "
00537900, Tennessee College of Applied Technology-Shelbyville, TN,371603697, Public,3," $2,692.00 "," $2,223.00 ",0, $-   , $-   ,58," $10,000.00 "," $13,290.00 "
00538000, Mid-State Technical College, WI,544945512, Public,117," $74,980.00 "," $102,347.00 ",0, $-   , $-   ,368," $71,797.00 "," $78,667.00 "
00538400, Nicolet Area Technical College, WI,545010518, Public,52," $109,444.00 "," $63,571.00 ",0, $-   , $-   ,143," $44,504.00 "," $70,027.00 "
00538700, Northcentral Technical College, WI,544011899, Public,119," $147,643.00 "," $171,262.00 ",0, $-   , $-   ,408," $120,470.00 "," $176,293.00 "
00538900, Gateway Technical College, WI,531441690, Public,129," $300,000.00 "," $262,827.00 ",0, $-   , $-   ,2093," $350,000.00 "," $416,561.00 "
00539000, Blackhawk Technical College, WI,535475009, Public,56," $80,912.00 "," $96,917.00 ",0, $-   , $-   ,390," $76,459.00 "," $96,256.00 "
00542900, Rolla Technical Institute Center, MO,654013601, Public,0, $-   , $-   ,0, $-   , $-   ,63," $12,418.00 "," $15,523.00 "
00544700, Randolph Community College, NC,272050000, Public,32," $59,927.00 "," $50,130.00 ",0, $-   , $-   ,155," $35,000.00 "," $41,333.00 "
00544800, Durham Technical Community College, NC,277035023, Public,53," $69,935.00 "," $132,262.00 ",0, $-   , $-   ,75," $48,753.00 "," $63,337.00 "
00544900, Central Carolina Community College, NC,273309000, Public,66," $75,000.00 "," $77,310.00 ",0, $-   , $-   ,172," $75,000.00 "," $70,929.00 "
00545200, Teterboro School of Aeronautics, NJ,76081083, Proprietary,0, $-   , $-   ,0, $-   , $-   ,19," $21,620.00 "," $28,826.00 "
00546100, Salem Community College, NJ,80692799, Public,15," $49,439.00 "," $31,616.00 ",0, $-   , $-   ,168," $41,014.00 "," $53,150.00 "
00546300, Alamance Community College, NC,272530000, Public,75," $96,154.00 "," $180,640.00 ",0, $-   , $-   ,370," $83,335.00 "," $64,500.00 "
00546400, Richmond Community College, NC,283454522, Public,34," $78,202.00 "," $69,946.00 ",0, $-   , $-   ,186," $84,999.00 "," $84,140.00 "
00546700, SOWELA Technical Community College, LA,706166950, Public,23," $80,933.00 "," $72,381.00 ",0, $-   , $-   ,124," $77,556.00 "," $77,556.00 "
00548900, Central Louisiana Technical Community College, LA,713023137, Public,0," $46,382.00 ", $-   ,0, $-   , $-   ,116," $49,167.00 "," $34,850.00 "
00549800, Wichita Area Technical College, KS,672268101, Public,45," $69,260.00 "," $84,596.00 ",0, $-   , $-   ,337," $75,000.00 "," $100,000.00 "
00549900, Salina Area Technical College, KS,674018195, Public,1," $1,624.00 "," $2,200.00 ",0, $-   , $-   ,0, $-   , $-   
00550000, Manhattan Area Technical College, KS,665032499, Public,8," $20,009.00 "," $14,655.00 ",0, $-   , $-   ,164," $20,155.00 "," $25,437.00 "
00551100, Coastal Pines Technical College, GA,315014016, Public,15," $87,438.00 "," $17,940.00 ",0, $-   , $-   ,256," $112,066.00 "," $177,467.00 "
00552500, Southern Maine Community College, ME,41061698, Public,154," $164,995.00 "," $201,748.00 ",0, $-   , $-   ,96," $148,734.00 "," $110,260.00 "
00552600, South Central Louisiana Technical College, LA,703812148, Public,0, $-   , $-   ,0, $-   , $-   ,0, $-   , $-   
00553300, Saint Paul College - A Community & Technical College, MN,551021800, Public,81," $216,323.00 "," $287,216.00 ",0, $-   , $-   ,680," $244,923.00 "," $326,655.00 "
00553400, St. Cloud Technical and Community College, MN,563031240, Public,47," $116,575.00 "," $125,325.00 ",0, $-   , $-   ,446," $127,655.00 "," $113,750.00 "
00553500, Pine Technical and Community College, MN,550632198, Public,13," $27,205.00 "," $17,432.00 ",0, $-   , $-   ,67," $25,567.00 "," $33,600.00 "
00553700, South Central College, MN,560011920, Public,49," $92,022.00 "," $116,705.00 ",0, $-   , $-   ,200," $86,414.00 "," $108,297.00 "
00554100, Minnesota State Community and Technical College, MN,565731405, Public,92," $187,505.00 "," $132,534.00 ",4, $-   ," $12,065.00 ",410," $151,327.00 "," $184,500.00 "
00554400, Alexandria Technical and Community College, MN,563083799, Public,74," $134,940.00 "," $118,611.00 ",0, $-   , $-   ,255," $108,176.00 "," $181,800.00 "
00558500, Lively Technical Center, FL,323042893, Public,0, $-   , $-   ,0, $-   , $-   ,189," $33,264.00 "," $41,204.00 "
00559400, D G Erwin Technical Center, FL,336108255, Public,50," $28,770.00 "," $32,683.00 ",0, $-   , $-   ,156," $27,114.00 "," $36,142.00 "
00559600, Emily Griffith Technical College, CO,802032197, Public,0, $-   , $-   ,0, $-   , $-   ,158," $100,000.00 "," $133,334.00 "
00559900, Augusta Technical College, GA,309063399, Public,93," $144,457.00 "," $184,357.00 ",0, $-   , $-   ,535," $169,260.00 "," $169,256.00 "
00560000, Athens Technical College, GA,306011579, Public,63," $127,641.00 "," $106,086.00 ",0, $-   , $-   ,287," $150,000.00 "," $171,000.00 "
00560100, Albany Technical College, GA,317012648, Public,69," $185,829.00 "," $161,637.00 ",0, $-   , $-   ,1532," $218,013.00 "," $235,914.00 "
00560700, Sarasota County Technical Institute, FL,342331798, Public,0, $-   , $-   ,0, $-   , $-   ,186," $85,000.00 "," $113,333.00 "
00561200, Manatee Technical College, FL,342036875, Public,6," $6,880.00 "," $9,172.00 ",0, $-   , $-   ,122," $25,000.00 "," $31,720.00 "
00561500, Southern Regional Technical College, GA,317922622, Public,10," $46,617.00 "," $44,635.00 ",0, $-   , $-   ,145," $53,756.00 "," $50,800.00 "
00561700, South Georgia Technical College, GA,317098167, Public,49," $62,966.00 "," $47,584.00 ",0, $-   , $-   ,92," $97,062.00 "," $101,250.00 "
00561800, Savannah Technical College, GA,314055594, Public,66," $150,000.00 "," $151,777.00 ",0, $-   , $-   ,179," $204,749.00 "," $213,008.00 "
00561900, North Georgia Technical College, GA,305230000, Public,48," $96,351.00 "," $101,703.00 ",0, $-   , $-   ,183," $45,000.00 "," $45,000.00 "
00562000, Chattahoochee Technical College, GA,300603300, Public,52," $214,016.00 "," $162,322.00 ",0, $-   , $-   ,1405," $351,908.00 "," $496,860.00 "
00562100, Southern Crescent Technical College, GA,302232097, Public,85," $182,664.00 "," $179,634.00 ",0, $-   , $-   ,443," $186,607.00 "," $179,820.00 "
00562200, Georgia Piedmont Technical College, GA,300212397, Public,55," $161,859.00 "," $136,641.00 ",0, $-   , $-   ,430," $183,604.00 "," $204,288.00 "
00562400, Columbus Technical College, GA,319046572, Public,60," $176,786.00 "," $188,369.00 ",0, $-   , $-   ,1378," $100,000.00 "," $87,085.00 "
00565500, Hacienda La Puente Adult Education, CA,917462640, Public,0, $-   , $-   ,0, $-   , $-   ,0, $-   , $-   
00569100, Shelton State Community College, AL,354054017, Public,56," $122,247.00 "," $120,471.00 ",0, $-   , $-   ,223," $118,227.00 "," $112,032.00 "
00569200, Reid State Technical College, AL,364010000, Public,29," $49,546.00 "," $46,427.00 ",0, $-   , $-   ,81," $51,346.00 "," $61,039.00 "
00569700, Northwest - Shoals Community College, AL,356623206, Public,45," $88,192.00 "," $99,633.00 ",0, $-   , $-   ,193," $90,027.00 "," $64,314.00 "
00569900, George Corley Wallace State Community College - Selma, AL,367032808, Public,59," $96,418.00 "," $89,710.00 ",0, $-   , $-   ,136," $104,138.00 "," $99,362.00 "
00570700, Southeast Arkansas College, AR,716033900, Public,36," $77,857.00 "," $51,804.00 ",0, $-   , $-   ,334," $92,987.00 "," $112,451.00 "
00573200, University of Arkansas Community College at Hope, AR,718010000, Public,23," $36,475.00 "," $36,475.00 ",0, $-   , $-   ,171," $34,211.00 "," $34,211.00 "
00573300, Bevill State Community College, AL,351480000, Public,50," $108,736.00 "," $102,935.00 ",0, $-   , $-   ,200," $102,925.00 "," $102,625.00 "
00573400, H. Councill Trenholm State Technical College, AL,361080020, Public,21," $43,707.00 "," $25,734.00 ",0, $-   , $-   ,137," $53,975.00 "," $64,158.00 "
00575200, Clover Park Technical College, WA,984994004, Public,44," $93,098.00 "," $86,749.00 ",0, $-   , $-   ,480," $96,963.00 "," $135,064.00 "
00575300, Owens State Community College, OH,435510000, Public,103," $324,741.00 "," $232,507.00 ",0, $-   , $-   ,842," $328,705.00 "," $386,799.00 "
00575400, Rowan-Cabarrus Community College, NC,281468357, Public,25," $67,708.00 "," $51,809.00 ",0, $-   , $-   ,260," $26,192.00 "," $52,200.00 "
00575700, Lake Superior College, MN,558113399, Public,93," $106,729.00 "," $110,757.00 ",0, $-   , $-   ,231," $99,814.00 "," $110,700.00 "
00575900, Northwest Technical College - Bemidji, MN,566014907, Public,17," $30,669.00 "," $25,278.00 ",0, $-   , $-   ,133," $30,951.00 "," $50,850.00 "
00576000, Northern Maine Community College, ME,47692016, Public,56," $134,985.00 "," $123,855.00 ",0, $-   , $-   ,77," $38,307.00 "," $40,302.00 "
00576100, L. E. Fletcher Technical Community College, LA,703953232, Public,29," $101,246.00 "," $71,320.00 ",0, $-   , $-   ,168," $82,778.00 "," $108,089.00 "
00576300, Central Georgia Technical College, GA,310882729, Public,81," $198,849.00 "," $198,999.00 ",0, $-   , $-   ,1558," $351,139.00 "," $351,139.00 "
00616500, Los Angeles County College of Nursing and Allied Health, CA,900331018, Public,0, $-   , $-   ,12, $-   ," $16,100.00 ",98," $9,901.00 "," $13,201.00 "
00618100, Bridgeport Hospital School of Nursing, CT,66102896, Private/Non-Profit,0, $-   , $-   ,0, $-   , $-   ,34," $9,861.00 "," $12,491.00 "
00619100, Saint Vincent's College, CT,66069966, Private/Non-Profit,10," $14,045.00 "," $18,727.00 ",0, $-   , $-   ,53," $16,458.00 "," $21,944.00 "
00621400, Blessing Hospital, IL,623010000, Private/Non-Profit,0, $-   , $-   ,0, $-   , $-   ,0, $-   , $-   
00622500, Trinity College of Nursing and Health Sciences, IL,612015317, Private/Non-Profit,3," $10,000.00 "," $12,775.00 ",0, $-   , $-   ,38," $13,803.00 "," $18,404.00 "
00622800, Methodist College, IL,616033716, Private/Non-Profit,32," $33,976.00 "," $45,301.00 ",0, $-   , $-   ,45," $36,530.00 "," $55,768.00 "
00625700, Saint Elizabeth School of Nursing, IN,479042198, Private/Non-Profit,10," $8,430.00 "," $7,480.00 ",0, $-   , $-   ,60," $16,021.00 "," $24,157.00 "
00627300, Mercy College of Health Sciences, IA,503091239, Private/Non-Profit,16," $30,000.00 "," $18,482.00 ",0, $-   , $-   ,163," $46,744.00 "," $66,093.00 "
